DEPARTURES_PERFORMED,DISTANCE,AIR_TIME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,DATA_SOURCE,FUEL_CONSUMPTION
29,317,1330,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13577,MYR,"Myrtle Beach, SC",694,3,DU,5291
29,317,1400,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13577,MYR,"Myrtle Beach, SC",699,8,DU,6336
29,321,1532,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14730,SDF,"Louisville, KY",614,3,DU,5578
29,356,1604,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14492,RDU,"Raleigh/Durham, NC",699,2,DU,6336
29,357,1631,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14574,ROA,"Roanoke, VA",698,4,DU,5234
29,373,1690,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11193,CVG,"Cincinnati, OH",614,10,DU,5578
29,399,1672,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13795,OAJ,"Jacksonville/Camp Lejeune, NC",608,4,DU,4850
29,404,1717,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13204,MCO,"Orlando, FL",624,2,DU,11684
29,457,1804,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10990,CHO,"Charlottesville, VA",608,12,DU,4850
29,554,2166,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11042,CLE,"Cleveland, OH",698,1,DU,5234
29,594,2505,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11433,DTW,"Detroit, MI",622,2,DU,7319
29,594,2572,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13303,MIA,"Miami, FL",699,12,DU,6336
29,694,2825,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11003,CID,"Cedar Rapids/Iowa City, IA",614,4,DU,5578
29,712,2710,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10792,BUF,"Buffalo, NY",699,7,DU,6336
29,726,2843,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",13605,NAS,"Nassau, The Bahamas",622,4,IU,7319
29,746,2818,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11618,EWR,"Newark, NJ",614,11,DU,5578
29,760,3013,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12478,JFK,"New York, NY",614,4,DU,5578
29,765,3115,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10408,ATW,"Appleton, WI",608,11,DU,4850
29,774,3004,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11977,GRB,"Green Bay, WI",614,4,DU,5578
29,774,3059,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11977,GRB,"Green Bay, WI",614,11,DU,5578
29,774,3130,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11977,GRB,"Green Bay, WI",614,6,DU,5578
29,782,3049,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",12278,ICT,"Wichita, KS",614,8,DU,5578
29,874,4017,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14683,SAT,"San Antonio, TX",622,1,DU,7319
29,903,3350,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14307,PVD,"Providence, RI",699,7,DU,6336
29,903,3367,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",14307,PVD,"Providence, RI",699,6,DU,6336
29,946,3391,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10721,BOS,"Boston, MA",622,11,DU,7319
29,954,3738,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11775,FSD,"Sioux Falls, SD",694,8,DU,5291
29,954,3795,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11775,FSD,"Sioux Falls, SD",694,7,DU,5291
29,954,3908,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",11775,FSD,"Sioux Falls, SD",698,4,DU,5234
29,961,3652,DL,Delta Air Lines Inc.,10397,ATL,"Atlanta, GA",10785,BTV,"Burlington, VT",608,6,DU,4850
